YEAR,TECHNOLOGY:Service,VALUE
2021,PSG,0.7256711417462
2022,PSG,0.7399633293656448
2023,PSG,0.7533517022095506
2024,PSG,0.7610754848182465
2025,PSG,0.7701036152530288
2026,PSG,0.7813336587312897
2027,PSG,0.7947096152530291
2028,PSG,0.8102594848182469
2029,PSG,0.7632438120572251
2030,PSG,0.6952898120572251
2031,PSG,0.6273368120572254
2032,PSG,0.6222098120572254
2033,PSG,0.6170828120572254
2034,PSG,0.6119558120572253
2035,PSG,0.6068288120572253
2036,PSG,0.5712420236299653
2037,PSG,0.5298639859702688
2038,PSG,0.45382611640505144
2039,PSG,0.3730213337963556
2040,PSG,0.28578620336157307
2041,PSG,0.2066301598833123
2042,PSG,0.1253022033615729
2043,PSG,0.041798333796355405
2021,FRT,1.6323117043740574
2022,FRT,1.6887849367887013
2023,FRT,1.7467745695872754
2024,FRT,1.8063686027697792
2025,FRT,1.868057795694501
2026,FRT,1.9317982706705052
2027,FRT,1.9976339053887293
2028,FRT,2.0660555815165225
2029,FRT,2.136756187942776
2030,FRT,2.0468186549659495
2031,FRT,1.9416188640705694
2032,FRT,1.9425401974039027
2033,FRT,1.9411581974039027
2034,FRT,1.9397761974039027
2035,FRT,1.902171187942775
2036,FRT,1.862757976370035
2037,FRT,1.727401670871611
2038,FRT,1.508669371406371
2039,FRT,1.2883366715572
2040,FRT,1.065908811965812
2041,FRT,0.8414256703231409
2042,FRT,0.6148513689382507
2043,FRT,0.3857070261437905
2044,FRT,0.1539606419397591
2045,FRT,0.08315550824991969
2046,FRT,0.0276166324786326
2047,FRT,0.0276166324786326
2048,FRT,0.0276166324786326
2049,FRT,0.0276166324786326
2044,PSG,0.020861006557377
2045,PSG,0.020861006557377
2046,PSG,0.020861006557377
2047,PSG,0.020861006557377
2048,PSG,0.020861006557377
2049,PSG,0.020861006557377
