YEAR,TECHNOLOGY:SubSector,VALUE
2021,EXP,72.11403813619472
2022,EXP,85.17122567944918
2023,EXP,92.15207488826563
2024,EXP,83.39573157264368
2025,EXP,89.38200509021166
2026,EXP,89.38200509021166
2027,EXP,89.38200509021168
2028,EXP,89.38200509021168
2029,EXP,87.54432535617131
2030,EXP,87.54432535617131
2031,EXP,87.54432535617131
2032,EXP,87.54432535617131
2033,EXP,87.54432535617131
2034,EXP,87.54432535617131
2035,EXP,73.7730019572798
2036,EXP,73.7730019572798
2037,EXP,73.7730019572798
2038,EXP,73.7730019572798
2039,EXP,68.28613330791487
2040,EXP,59.461626717102966
2041,EXP,58.17432477395823
2042,EXP,56.904188573241406
2043,EXP,55.63405237252456
2044,EXP,54.36391617180773
2045,EXP,53.09003325663444
2046,EXP,18.91988755294176
2047,EXP,18.91988755294176
2048,EXP,18.91988755294176
2049,EXP,12.437079967661765
2050,EXP,5.98413007872
2051,EXP,5.98413007872
2052,EXP,5.984130078719999
2053,EXP,5.984130078720002
2054,EXP,5.984130078719999
2055,EXP,5.984130078720002
