EMISSION:EmissionSubType,YEAR,VALUE
Power,2021,9.04670693352
Power,2022,9.04670693352
Power,2023,9.046706933519998
Power,2024,9.047
Power,2025,16.26070693352001
Power,2026,16.260706933520005
Power,2027,16.26070693352001
Power,2028,16.26070693352
Power,2029,16.260706933519998
Power,2030,16.26070693352
Power,2031,16.26070693352
Power,2032,16.26070693352001
Power,2033,16.260706933520005
Power,2034,16.260706933519998
Power,2035,16.260706933520005
Power,2036,16.260706933520005
Power,2037,16.26070693352
Power,2038,16.260706933520005
Power,2039,15.944
Power,2040,15.265
Power,2041,14.587
Power,2042,13.907999999999998
Power,2043,13.23
Power,2044,12.550999999999998
Power,2045,11.872999999999998
Power,2046,7.214
Power,2047,6.777000000000001
Power,2048,6.34
Power,2049,5.902000000000001
Power,2050,5.465
Power,2051,5.464999999999999
Power,2052,5.465
Power,2053,5.465
Power,2054,5.465
Power,2055,1.29
Transport,2021,2.357982846120257
Transport,2022,2.428748266154346
Transport,2023,2.5001262717968262
Transport,2024,2.5778762718503208
Transport,2025,2.6590240984885143
Transport,2026,2.7013070238140946
Transport,2027,2.7481533175113846
Transport,2028,2.800020890994373
Transport,2029,2.8498673170287083
Transport,2030,2.9041704032342213
Transport,2031,2.9643014268901786
Transport,2032,3.0309999999999997
Transport,2033,3.045702565014855
Transport,2034,3.0579999999999985
Transport,2035,3.0669999999999997
Transport,2036,3.072000000000001
Transport,2037,3.0550000000000006
Transport,2038,3.0359999999999996
Transport,2039,3.0120000000000013
Transport,2040,2.984000000000001
Transport,2041,2.9520000000000013
Transport,2042,2.8962985973914024
Transport,2043,2.840073069588673
Transport,2044,2.7853709225315
Transport,2045,2.6586814288597753
Transport,2046,2.3749984594843276
Transport,2047,2.3093785052451814
Transport,2048,2.295894889155646
Transport,2049,2.2849494916568394
Transport,2050,2.2380000000000004
Transport,2051,2.262000000000001
Transport,2052,2.2570000000000006
Transport,2053,2.2520000000000002
Transport,2054,2.245
Transport,2055,2.239
