EMISSION:EmissionSubType,YEAR,VALUE
Power,2021,9.046706933520005
Power,2022,9.046706933520005
Power,2023,9.04670693352
Power,2024,9.04670693352
Power,2025,21.57143431752001
Power,2026,24.94347630551999
Power,2027,25.44201377067789
Power,2028,25.442013770677896
Power,2029,25.44201377067789
Power,2030,25.442013770677896
Power,2031,25.442013770677896
Power,2032,25.442013770677896
Power,2033,25.442013770677907
Power,2034,25.442013770677896
Power,2035,25.442013770677903
Power,2036,25.442013770677907
Power,2037,25.442013770677903
Power,2038,25.442013770677896
Power,2039,25.442013770677896
Power,2040,25.442013770677896
Power,2041,25.442013770677896
Power,2042,25.442013770677903
Power,2043,25.442013770677896
Power,2044,25.44201377067791
Power,2045,25.44201377067752
Power,2046,16.395306837157893
Power,2047,16.395306837157893
Power,2048,16.395306837157893
Power,2049,16.39530683715789
Power,2050,16.395306837157896
Power,2051,16.395306837157896
Power,2052,16.395306837157896
Power,2053,16.395306837157896
Power,2054,16.395306837157896
Power,2055,3.8705794531578976
Transport,2021,2.357982846120257
Transport,2022,2.45656729054459
Transport,2023,2.556571767731785
Transport,2024,2.663743166159264
Transport,2025,2.7749953180007094
Transport,2026,2.839909983163688
Transport,2027,2.910107138649596
Transport,2028,2.9860191999374623
Transport,2029,3.0674059792624813
Transport,2030,3.128296840222093
Transport,2031,3.1952139946977223
Transport,2032,3.285572593781265
Transport,2033,3.380869941314533
Transport,2034,3.4820009649848895
Transport,2035,3.58992305952372
Transport,2036,3.7035999823107355
Transport,2037,3.797156825626841
Transport,2038,3.8988826258153555
Transport,2039,4.0051372485009065
Transport,2040,4.118393820161381
Transport,2041,4.247664286240708
Transport,2042,4.384233184596341
Transport,2043,4.527990674917588
Transport,2044,4.681348498247334
Transport,2045,4.869415414121951
Transport,2046,5.066788223533785
Transport,2047,5.276423325345696
Transport,2048,5.496124758052208
Transport,2049,5.727423953874292
Transport,2050,5.8214167790281985
Transport,2051,5.915614933595335
Transport,2052,6.186937063334105
Transport,2053,6.473257977652973
Transport,2054,6.7734362420171
Transport,2055,7.091102544534901
